ID,Nombre,Medidas,Calibre,Desarollo,Peso,Precio
0,Lamina liza negra,4x10,14,--,56.69,958.75
1,Lamina liza negra,4x8,14,--,45.35,765.3
2,Lamina liza negra,3x10,14,--,42.52,716.53
3,Lamina liza negra,3x8,14,--,34.01,571.9
4,Lamina liza negra,4x10,12,--,79.37,1345.6
5,Lamina liza negra,4x8,12,--,63.5,1068.07
6,Lamina liza negra,3x10,12,--,59.53,1000.79
7,Lamina liza negra,3x8,12,--,47.62,802.31
8,Lamina antiderrapante,4x10,14,--,68.03,1183.78
9,Lamina antiderrapante,4x8,14,--,--,1001.66
10,Lamina antiderrapante,3x10,14,--,51.02,855.96
11,Lamina antiderrapante,3x8,14,--,--,728.48
12,PTR,1 1/2 X 1 1/2,14,--,--,250.72
13,PTR,1 X 1,14,--,--,163.43
14,PTR,2X 2,14,--,--,334.29
15,PTR,3X 2,14,--,--,427.15
16,PTR,3 X 1 1/2,14,--,--,382.58
17,PTR,4X3,11,--,--,947.15
18,PTR,4X2,11,--,--,798.58
19,PTR,2 1/2 X 21/2,14,--,--,419.72
20,PTR,3 1/2 X 21/2,12,--,--,594.29
21,Angulo,1/4 x 2,--,--,--,521.63
22,Angulo,3/16 x 2,--,--,--,403.73
23,Redondo, 1/3,--,--,--,50.39
24,Redondo, 1/2,--,--,--,108.89
25,Solera,5/8 x 1 1/2,--,--,--,521.42
26,Solera,1/2 x 1 1/2,--,--,--,424.33
27,Canal U,6,--,--,--,1357.49
28,Canal U,4,--,--,--,899
29,Perfil Tubular,1X 1,18,--,--,129.34
30,Perfil Tubular,1 1/2 X 1 1/2,18,--,--,198.63
31,Tubo,0.75,ced. 30,--,--,135.57
32,Tubo,1,ced. 30,--,--,170.86
33,Tubo,0.5,ced. 30,--,--,119.91
34,Lamina negra ,4 x10,18,--,36.28,698.61
35,Lamina negra ,4 x 8,18,--,29.03,555.06
36,Lamina negra ,3 x10,18,--,27.21,526.35
37,Lamina negra ,3 x 8,18,--,21.77,417.25
38,Lamina negra ,4 x10,16,--,45.35,870.87
39,Lamina negra ,4 x 8,16,--,35.28,694.78
40,Lamina negra ,3 x10,16,--,34.01,650.78
41,Lamina negra ,3 x 8,16,--,27.21,526.35
42,Tablon,"1 1/2,6,8",--,--,--,--
43,Tablon,"1 1/2,6,10",--,--,--,--
44,Tablon,"1 1/2,6,12",--,--,--,--
45,Tablon,"1 1/2,6,14",--,--,--,--
46,Tablon,"1 1/2,6,16",--,--,--,--
47,Tablon,"1 1/2,8,8",--,--,--,252
48,Tablon,"1 1/2,8,10",--,--,--,315
49,Tablon,"1 1/2,8,12",--,--,--,400
50,Tablon,"1 1/2,8,14",--,--,--,441
51,Tablon,"1 1/2,8,16",--,--,--,585
52,Tablon,"1 1/2,8,20",--,--,--,324
53,Tablon,"1 1/2,10,20",--,--,--,460
54,Madera,"3/4,8,10",--,--,--,346.5
55,Madera,"7/8,6,8",--,--,--,166.25
56,Madera,"7/8,6,10",--,--,--,133
57,Madera,"7/8,6,12",--,--,--,--
58,Madera,"7/8,6,14",--,--,--,175.9
59,Madera,"7/8,6,16",--,--,--,--
60,Madera,"7/8,8,8",--,--,--,150
61,Madera,"7/8,8,10",--,--,--,188
62,Madera,"7/8,8,12",--,--,--,206.5
63,Madera,"7/8,8,14",--,--,--,241
64,Madera,"7/8,8,16",--,--,--,301.7
